sample_id,phenotype
SIM0000,1.7244
SIM0001,0.5534
SIM0002,-1.3197
SIM0003,-2.1367
SIM0004,-0.4432
SIM0005,0.9663
SIM0006,-1.2579
SIM0007,0.2609
SIM0008,-1.2670
SIM0009,-1.4272
SIM0010,-1.8337
SIM0011,1.0475
SIM0012,1.5878
SIM0013,-1.7924
SIM0014,2.7126
SIM0015,3.0890
SIM0016,-0.8385
SIM0017,1.0655
SIM0018,2.6383
SIM0019,-0.0399
SIM0020,1.7466
SIM0021,0.2358
SIM0022,1.2367
SIM0023,-2.5333
SIM0024,-2.2079
SIM0025,0.0680
SIM0026,1.9654
SIM0027,1.5944
SIM0028,-1.5352
SIM0029,-0.7747
SIM0030,-2.8503
SIM0031,0.2649
SIM0032,-0.4931
SIM0033,0.2178
SIM0034,-1.7970
SIM0035,-0.4964
SIM0036,0.1606
SIM0037,-3.0573
SIM0038,1.0002
SIM0039,0.6490
SIM0040,1.4075
SIM0041,-0.8921
SIM0042,-2.1149
SIM0043,1.2408
SIM0044,-0.1528
SIM0045,-0.1751
SIM0046,-0.2742
SIM0047,1.6187
SIM0048,0.9527
SIM0049,-2.0603
SIM0050,0.7062
SIM0051,2.7739
SIM0052,0.8447
SIM0053,2.6645
SIM0054,-2.1924
SIM0055,-0.4318
SIM0056,-2.0150
SIM0057,1.1314
SIM0058,3.0345
SIM0059,-1.4070
SIM0060,-2.2814
SIM0061,-1.3474
SIM0062,-0.5002
SIM0063,2.3138
SIM0064,2.1555
SIM0065,6.1983
SIM0066,-1.5071
SIM0067,-0.7049
SIM0068,-1.1929
SIM0069,1.0170
SIM0070,2.1047
SIM0071,1.8708
SIM0072,-0.9393
SIM0073,2.5196
SIM0074,-1.3796
SIM0075,-0.7987
SIM0076,-0.4134
SIM0077,2.7282
SIM0078,-1.9570
SIM0079,-3.3086
SIM0080,3.1503
SIM0081,3.5362
SIM0082,0.8712
SIM0083,1.5627
SIM0084,-1.2443
SIM0085,2.4889
SIM0086,2.6855
SIM0087,1.2292
SIM0088,-1.5450
SIM0089,-2.2360
SIM0090,-2.2623
SIM0091,0.2870
SIM0092,-1.2738
SIM0093,-1.9025
SIM0094,-0.6360
SIM0095,-0.6607
SIM0096,2.9852
SIM0097,1.5763
SIM0098,0.0978
SIM0099,-2.8675
SIM0100,1.4529
SIM0101,2.3565
SIM0102,-2.2400
SIM0103,-1.3105
SIM0104,-2.5882
SIM0105,-0.4721
SIM0106,0.5616
SIM0107,-3.7093
SIM0108,0.2282
SIM0109,-2.0052
SIM0110,0.8402
SIM0111,1.1799
SIM0112,0.2831
SIM0113,0.7628
SIM0114,0.1631
SIM0115,-2.7935
