sample_id,phenotype
SIM0000,3.1132
SIM0001,1.0892
SIM0002,-0.3405
SIM0003,3.4463
SIM0004,2.2882
SIM0005,3.7036
SIM0006,1.7886
SIM0007,-1.6481
SIM0008,1.3308
SIM0009,2.7478
SIM0010,1.1148
SIM0011,0.6279
SIM0012,-1.7105
SIM0013,0.1695
SIM0014,2.1133
SIM0015,2.1686
SIM0016,1.3724
SIM0017,2.5620
SIM0018,4.7658
SIM0019,-0.6568
SIM0020,1.9495
SIM0021,1.2984
SIM0022,0.3958
SIM0023,-0.3258
SIM0024,1.6511
SIM0025,1.9469
SIM0026,1.1580
SIM0027,3.5663
SIM0028,1.7180
SIM0029,-0.2326
SIM0030,4.2384
SIM0031,3.1067
SIM0032,-1.8809
SIM0033,4.1952
SIM0034,-1.6303
SIM0035,0.7742
SIM0036,1.2218
SIM0037,0.9603
SIM0038,-1.0620
SIM0039,2.4889
SIM0040,1.0467
SIM0041,1.0790
SIM0042,2.2757
SIM0043,-1.7746
SIM0044,-0.0259
SIM0045,0.4691
SIM0046,0.1406
SIM0047,2.5230
SIM0048,-0.3416
SIM0049,3.3046
SIM0050,0.5643
SIM0051,1.0566
SIM0052,1.6259
SIM0053,5.0951
SIM0054,5.1540
SIM0055,2.2085
SIM0056,5.7838
SIM0057,1.6392
SIM0058,0.2129
SIM0059,3.0666
SIM0060,0.9822
SIM0061,0.7272
SIM0062,2.6430
SIM0063,2.2485
SIM0064,1.1229
SIM0065,-3.3052
SIM0066,1.8109
SIM0067,-0.7201
SIM0068,2.4203
SIM0069,1.4111
SIM0070,2.7530
SIM0071,1.3391
SIM0072,2.4871
SIM0073,-1.3520
SIM0074,1.8216
SIM0075,1.7672
SIM0076,1.6767
SIM0077,1.3582
SIM0078,0.6313
SIM0079,-1.4585
SIM0080,2.5623
SIM0081,3.4251
SIM0082,0.4509
SIM0083,-0.4208
SIM0084,-1.0775
SIM0085,1.6484
SIM0086,-1.8344
SIM0087,3.6299
SIM0088,1.9881
SIM0089,0.5205
SIM0090,-2.1553
SIM0091,3.8930
SIM0092,-1.2377
SIM0093,4.7117
SIM0094,-1.4921
SIM0095,4.0589
SIM0096,1.3037
SIM0097,0.0215
SIM0098,2.5387
SIM0099,1.6372
SIM0100,0.5542
SIM0101,-0.6995
SIM0102,2.7562
SIM0103,3.4749
SIM0104,-1.9656
SIM0105,1.7798
SIM0106,-1.1557
SIM0107,1.5177
SIM0108,0.7364
SIM0109,4.4756
SIM0110,1.7104
SIM0111,-2.4980
SIM0112,2.0787
SIM0113,0.0336
SIM0114,4.3484
SIM0115,0.2719
SIM0116,3.7974
SIM0117,1.4563
SIM0118,5.9183
SIM0119,1.0163
SIM0120,0.5381
SIM0121,2.2612
SIM0122,0.8583
SIM0123,3.4894
SIM0124,0.2501
SIM0125,1.9296
SIM0126,3.7017
SIM0127,1.2192
SIM0128,2.3250
SIM0129,-0.0127
SIM0130,1.7951
SIM0131,5.0393
SIM0132,0.5651
SIM0133,3.1952
SIM0134,1.6259
SIM0135,3.8128
SIM0136,-0.4108
SIM0137,0.4331
SIM0138,-0.4599
SIM0139,2.2516
SIM0140,2.3180
SIM0141,0.4849
SIM0142,-0.0526
SIM0143,1.2211
SIM0144,3.6886
SIM0145,1.5995
SIM0146,1.9684
SIM0147,0.8002
SIM0148,1.7885
SIM0149,0.6415
SIM0150,4.6484
SIM0151,-2.2327
SIM0152,-1.1154
SIM0153,-1.6223
SIM0154,2.8747
SIM0155,0.5259
SIM0156,3.8113
SIM0157,2.0178
SIM0158,-2.2340
SIM0159,3.9503
SIM0160,-0.8638
SIM0161,2.8565
SIM0162,2.2552
SIM0163,3.2584
SIM0164,-1.6791
SIM0165,4.0957
SIM0166,3.0311
SIM0167,2.2004
SIM0168,1.9853
SIM0169,2.1731
SIM0170,1.1839
SIM0171,1.9215
SIM0172,2.8161
SIM0173,-0.6934
SIM0174,2.5184
SIM0175,1.4126
SIM0176,3.0751
SIM0177,-0.7291
SIM0178,2.6085
SIM0179,3.4358
SIM0180,4.5320
SIM0181,-0.5702
SIM0182,2.5583
SIM0183,0.4835
SIM0184,1.9271
SIM0185,4.4648
